product_id,product_name,category_id,description,price
39,Apple Watch Series 9,472,"Smartwatch with health tracking, activity monitoring, notifications and a bright display.",399.0
40,Samsung Galaxy Watch 6,433,"Smartwatch with fitness tracking, sleep monitoring, notifications and a bright AMOLED display.",299.99
41,Fitbit Charge 6,193,"Fitness tracker with heart-rate monitoring, activity tracking, sleep insights and built-in GPS.",159.95
42,Garmin Forerunner 255,574,"GPS running smartwatch with workout tracking, training metrics and long battery life.",349.99
43,Canon EOS R50,421,"Compact mirrorless camera with interchangeable lenses, fast autofocus and high-quality photo and video capture.",679.0
44,Sony Alpha a6400,1109,"Mirrorless camera with fast autofocus, interchangeable lenses and strong photo and video capabilities.",898.0
45,GoPro HERO12 Black,1693,"Action camera with high-resolution video, strong stabilization and a rugged waterproof design.",399.99
46,DJI Mini 3,615,"Compact camera drone with stabilized video, intelligent flight features and a lightweight travel-friendly design.",469.0
47,Canon PIXMA G3020,1514,"All-in-one wireless printer designed for efficient home and student printing, scanning and copying.",249.0
48,HP DeskJet 4155e,654,"Compact all-in-one printer with wireless printing, scanning and copying for home and study use.",129.99
49,Epson EcoTank ET-2850,486,Cartridge-free wireless printer with refillable ink tanks for economical everyday printing.,249.99
50,TP-Link Archer AX55,1504,Dual-band Wi-Fi 6 router offering high-speed wireless connectivity for homes and small offices.,129.99
51,NETGEAR Nighthawk AX5400,60,"Wi-Fi 6 router designed for fast wireless performance, multiple devices and streaming.",179.99
52,Amazon Echo Dot 5th Gen,1170,"Compact smart speaker with Alexa voice control, music playback and smart-home features.",49.99
53,Google Nest Mini,818,"Compact smart speaker with Google Assistant for music, reminders, questions and smart-home control.",49.0
54,Apple HomePod Mini,1356,"Compact smart speaker with Siri integration, computational audio and smart-home control.",99.0
55,Amazon Fire TV Stick 4K,104,"Streaming media device supporting 4K video, popular streaming apps and voice control.",49.99
56,Google Chromecast with Google TV,800,"Streaming device with 4K support, app-based entertainment and voice-enabled remote control.",49.99
57,Apple TV 4K,1303,"Premium streaming device with 4K HDR playback, Apple services and smooth media navigation.",129.0
58,Sony Bravia 55-inch 4K TV,192,"4K smart television with vivid picture quality, streaming apps and immersive home entertainment features.",1099.99
59,Samsung 55-inch Crystal 4K TV,1528,"4K smart TV with a sharp display, streaming support and modern connected-TV features.",649.99
60,LG 55-inch OLED C4,671,"Premium OLED smart TV with excellent contrast, smooth motion and advanced gaming features.",1599.99
61,OnePlus 43-inch Smart TV,152,"Smart television with a 4K display, streaming apps and connected entertainment features.",399.0
62,Sony PlayStation 5,555,"Current-generation gaming console with fast SSD storage, high-resolution graphics and a large game library.",499.99
63,Microsoft Xbox Series X,1316,"High-performance gaming console with fast storage, 4K gaming support and broad game compatibility.",499.99
64,Nintendo Switch OLED,859,"Hybrid gaming console with an OLED screen, detachable controllers and handheld or docked play.",349.99
65,Meta Quest 3,1099,"Standalone mixed-reality headset with high-resolution visuals, motion tracking and immersive gaming experiences.",499.99
66,Apple AirTag,336,Compact item tracker that helps locate personal belongings through Apple's Find My network.,29.0
67,Tile Mate,197,"Bluetooth item tracker designed to help locate keys, bags and other everyday belongings.",24.99
68,Anker PowerCore 20000,1542,"High-capacity portable power bank suitable for charging smartphones, tablets and other USB devices.",49.99
69,Apple MagSafe Charger,432,Wireless magnetic charger designed for compatible iPhone models and convenient desk or travel charging.,39.0
70,Samsung 25W USB-C Charger,22,Compact USB-C wall charger supporting fast charging for compatible Samsung and other devices.,19.99
71,Anker USB-C Hub,383,"Multi-port USB-C hub providing convenient connectivity for laptops, external displays and USB accessories.",39.99
72,Belkin 3-in-1 Wireless Charger,387,"Multi-device charging station designed to charge compatible phones, earbuds and smartwatches together.",149.99
73,Philips Hue Smart Bulb,1139,Wi-Fi smart LED bulb with adjustable brightness and color options for connected home lighting.,49.99
74,TP-Link Tapo Smart Plug,815,"Compact smart plug that enables remote control, schedules and automation for connected appliances.",14.99
75,Ring Video Doorbell,264,"Smart video doorbell with motion alerts, two-way communication and app-based home monitoring.",99.99
76,Amazon Basics Laptop Stand,841,Adjustable laptop stand designed to improve desk ergonomics and provide a more comfortable viewing angle.,29.99
77,Logitech C920 Webcam,744,Full HD webcam with automatic light correction and clear video for online meetings and classes.,69.99
78,Blue Yeti USB Microphone,541,"USB condenser microphone designed for streaming, voice recording, online meetings and content creation.",129.99
79,Elgato Stream Deck,1003,"Programmable control pad with customizable keys for streaming, shortcuts, productivity and creative workflows.",149.99
80,Corsair K70 RGB Keyboard,135,"Mechanical gaming keyboard with RGB lighting, responsive switches and dedicated media controls.",169.99
81,Corsair Vengeance 16GB RAM,909,Desktop memory module designed to improve multitasking and application performance on compatible systems.,54.99
82,Samsung 990 PRO 1TB SSD,1092,"High-performance NVMe SSD designed for fast application loading, gaming and demanding desktop workloads.",99.99
83,Intel Core i5 Processor,544,"Desktop processor suitable for everyday computing, programming, productivity and moderate gaming workloads.",219.99
84,AMD Ryzen 7 Processor,1160,"Multi-core desktop processor designed for gaming, programming, content creation and demanding applications.",299.99
85,NVIDIA GeForce RTX 4060,825,"Graphics card designed for modern gaming, creative workloads and GPU-accelerated applications.",299.99
86,ASUS ROG Strix Gaming Laptop,527,Performance-focused laptop designed for gaming and demanding workloads with dedicated graphics.,1299.99
87,HP LaserJet Pro Printer,766,Fast monochrome laser printer designed for reliable home-office and small-business document printing.,229.99
88,Bose SoundLink Flex,407,"Portable Bluetooth speaker with balanced sound, rugged construction and water-resistant design.",149.0
89,Sony WF-1000XM5,1061,"Premium true wireless earbuds with active noise cancellation, detailed sound and compact charging case.",299.99
90,Anker Soundcore Motion+,758,"Portable Bluetooth speaker with powerful audio, extended battery life and a durable design.",99.99
91,Apple Pencil USB-C,1331,"Stylus designed for compatible iPad models, suitable for note-taking, sketching and document annotation.",79.0
92,Samsung S Pen,1283,"Precision stylus for compatible Samsung tablets and smartphones, useful for notes, drawing and navigation.",59.99
93,Kindle Basic,913,Lightweight e-reader with a glare-free display and long battery life for comfortable digital reading.,109.99
94,WD My Passport 4TB,1600,"Portable high-capacity external hard drive suitable for backups, photos, videos and document storage.",109.99
95,JBL Charge 5,79,"Portable Bluetooth speaker with strong sound, long battery life and waterproof construction.",179.95
96,Sony WH-CH720N,834,"Lightweight wireless headphones with active noise cancellation, clear audio and long battery life.",149.99
97,Samsung 27-inch Monitor,981,"Full HD monitor suitable for study, office work, programming and everyday multimedia use.",199.99
98,LG UltraGear 27-inch Monitor,1454,"Gaming monitor with a fast refresh rate, low response time and smooth gameplay support.",299.99
99,Dell 24-inch Monitor,86,"Full HD monitor designed for comfortable office work, study, coding and everyday desktop use.",179.99
100,Amazon Echo Show 8,866,"Smart display with Alexa, video calling, music playback and smart-home control.",129.99
